,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q
0,Pendulum-v0,482,-1341.0153246614288,1199,6,2.487138271331787,8.981341361999512,0.7059812545776367,-9.20396614074707
1,Pendulum-v0,353,-1412.9508049307608,2199,11,6.2160115242004395,23.386438369750977,2.8727428913116455,-23.619434356689453
2,Pendulum-v0,322,-1440.0150347112337,3199,16,9.925661563873291,37.61693572998047,22.82803726196289,-38.2839469909668
3,Pendulum-v0,307,-1376.8819826686074,4199,21,13.638481378555298,52.00481414794922,1.398571252822876,-53.240230560302734
4,Pendulum-v0,299,-1326.049293456461,5199,26,17.347564458847046,61.77510070800781,31.859432220458984,-63.38217544555664
5,Pendulum-v0,294,-1228.7769605165236,6199,31,21.065940856933594,70.04090881347656,91.12931823730469,-71.39859008789062
6,Pendulum-v0,290,-1136.1207994334115,7199,36,24.776620864868164,74.982177734375,119.43717956542969,-75.94800567626953
7,Pendulum-v0,287,-1034.0858716125356,8199,41,28.503544092178345,75.0447998046875,4.871509552001953,-76.04204559326172
8,Pendulum-v0,285,-941.2679754722436,9199,46,32.215980768203735,80.41770935058594,178.67816162109375,-82.16162872314453
9,Pendulum-v0,283,-864.0197855746006,10199,51,36.03193545341492,77.44573974609375,10.640918731689453,-80.44158935546875
10,Pendulum-v0,281,-818.744214645021,11199,56,39.84561061859131,77.24986267089844,6.686426162719727,-77.93107604980469
11,Pendulum-v0,279,-780.0654130496526,12199,61,43.56856441497803,73.20925903320312,4.800097942352295,-74.65962219238281
12,Pendulum-v0,279,-730.3289507031371,13199,66,47.19962477684021,66.96231079101562,96.60365295410156,-68.10930633544922
13,Pendulum-v0,278,-689.1269990003722,14199,71,50.94776630401611,76.86589050292969,161.45355224609375,-77.19525909423828
14,Pendulum-v0,278,-651.8184383938573,15199,76,54.638792514801025,78.79698944091797,18.298137664794922,-80.89016723632812
15,Pendulum-v0,277,-622.5304245673184,16199,81,58.45871877670288,62.37559509277344,11.551358222961426,-63.836387634277344
16,Pendulum-v0,276,-594.72561298999,17199,86,62.271003007888794,61.46119689941406,498.6501159667969,-61.45695495605469
17,Pendulum-v0,275,-571.2756129077998,18199,91,66.01821064949036,68.64802551269531,9.363201141357422,-70.61092376708984
18,Pendulum-v0,274,-549.4723439790089,19199,96,69.8199372291565,59.799781799316406,10.235645294189453,-61.743751525878906
19,Pendulum-v0,272,-527.5891789137288,20199,101,74.1697461605072,71.92839813232422,12.9539794921875,-73.18924713134766
20,Pendulum-v0,236,-513.2848797801931,21199,106,89.50616812705994,62.30510711669922,10.658102035522461,-63.66230010986328
21,Pendulum-v0,227,-446.6808935848261,22199,111,97.73693203926086,53.632598876953125,12.231283187866211,-56.096595764160156
22,Pendulum-v0,224,-381.1604116229706,23199,116,103.14480900764465,68.19889831542969,124.71427917480469,-69.06185150146484
23,Pendulum-v0,222,-331.06406090832587,24199,121,108.5841748714447,65.46859741210938,10.563194274902344,-67.76881408691406
24,Pendulum-v0,220,-284.03097905080364,25199,126,114.05046033859253,56.66596984863281,11.561873435974121,-58.94232177734375
25,Pendulum-v0,219,-253.90378953335866,26199,131,119.4434061050415,53.37853240966797,551.556396484375,-54.17101287841797
26,Pendulum-v0,217,-235.73840349990604,27199,136,124.8301351070404,55.914527893066406,9.732466697692871,-57.86373519897461
27,Pendulum-v0,216,-228.9670911366489,28199,141,130.35555267333984,48.10151672363281,11.100677490234375,-50.43001937866211
28,Pendulum-v0,215,-228.459883470256,29199,146,135.29379773139954,59.35033416748047,13.14936351776123,-62.39710998535156
29,Pendulum-v0,217,-226.77198245778953,30199,151,139.05676245689392,55.44672775268555,9.54843521118164,-56.970733642578125
30,Pendulum-v0,218,-216.10118543578122,31199,156,142.84857726097107,38.75057601928711,8.869112968444824,-40.6904411315918
31,Pendulum-v0,219,-205.83338327589604,32199,161,146.6725878715515,50.83345031738281,6.3662190437316895,-52.22634506225586
32,Pendulum-v0,220,-207.98683045360835,33199,166,150.42369508743286,51.217227935791016,556.0291137695312,-51.85942840576172
33,Pendulum-v0,221,-211.25706370519376,34199,171,154.22782444953918,50.738983154296875,635.6427612304688,-51.6102294921875
34,Pendulum-v0,222,-214.37150919910758,35199,176,158.0643801689148,44.11895751953125,6.106748104095459,-45.262489318847656
35,Pendulum-v0,223,-215.14904192316496,36199,181,161.93553066253662,35.62099838256836,404.78350830078125,-36.017478942871094
36,Pendulum-v0,224,-215.0552212458186,37199,186,165.68723058700562,38.93597412109375,10.614973068237305,-41.08063507080078
37,Pendulum-v0,225,-211.38350345328766,38199,191,169.47144865989685,40.75362014770508,115.28030395507812,-42.31147003173828
38,Pendulum-v0,226,-214.1349942938797,39199,196,173.21206665039062,41.152305603027344,7.1445183753967285,-42.32059860229492
39,Pendulum-v0,227,-207.56632365439162,40199,201,177.01058673858643,49.41638946533203,117.06835174560547,-50.52128601074219
40,Pendulum-v0,227,-163.59429671475752,41199,206,180.8019163608551,37.10628128051758,5.805057525634766,-38.58220672607422
41,Pendulum-v0,228,-160.19606762207385,42199,211,184.56175088882446,31.053823471069336,6.399393081665039,-32.17839050292969
42,Pendulum-v0,229,-156.71203558995668,43199,216,188.29359793663025,36.91168975830078,6.048048496246338,-38.66986846923828
43,Pendulum-v0,230,-155.39110072081772,44199,221,192.1148190498352,40.01350402832031,475.7772216796875,-40.6718635559082
44,Pendulum-v0,230,-154.12770528722388,45199,226,195.86543560028076,36.667274475097656,350.8404235839844,-36.928077697753906
45,Pendulum-v0,231,-156.6870278135602,46199,231,199.64121866226196,29.254573822021484,4.59943962097168,-30.434247970581055
46,Pendulum-v0,232,-156.28177082549107,47199,236,203.41094493865967,30.84804344177246,6.387297630310059,-32.067447662353516
47,Pendulum-v0,232,-154.14050574746818,48199,241,207.1946988105774,28.845808029174805,3.921086549758911,-29.674964904785156
48,Pendulum-v0,233,-154.89707661286906,49199,246,210.96303987503052,36.77080535888672,3.384293556213379,-37.60595703125
