,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,715,11.235243105215593,-0.016698821031082518,2.6676861805793566,0.09461982217796433,0.014352536459381764,-0.016698821031082518,0.1597693000657436,,0.9991919362392181,20000,12,0,27.9572172164917,0.0
1,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,689,12.933174192995926,-0.01539859416990135,2.397389417122572,0.04282729630985369,0.012970142440201763,-0.01539859416990135,0.21155064933193035,,1.0016337163173235,40000,46,1,58.02494144439697,0.0
2,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,642,7.746321626611363,-0.0042777617470934415,2.1495830916441405,0.04604041843006435,0.0036215014396032367,-0.0042777617470934415,0.5439610011302508,,1.0034634798765183,60000,127,2,93.38667130470276,0.0
3,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,605,4.096678747519404,-0.03364648947922083,1.8391474743684133,0.0595991588364809,0.029234160349155085,-0.03364648947922083,1.3867604894515795,,0.9996988241489116,80000,316,3,132.07163453102112,0.0
4,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,568,3.8634567927854704,-0.01090336170238562,1.6127480467160542,0.08874977113655172,0.009893799474080785,-0.01090336170238562,0.1623961163063844,,0.9995300517632411,100000,634,4,175.96875667572021,0.0
5,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,540,3.8327147819870064,-0.015137631456869152,1.4266738705146007,0.09311096281028138,0.014017034834250808,-0.015137631456869152,0.35896865465702155,,0.9995933850606282,120000,1059,5,221.927001953125,0.0
6,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,518,4.278406573936227,-0.022701578264912734,1.213818488518397,0.10139284851268315,0.02089524205105427,-0.022701578264912734,0.13266039667412258,,1.000408647304926,140000,1542,6,269.9467444419861,0.0
7,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,506,7.374240102950329,-0.037747406004331054,1.0563219713859069,0.14895317582652354,0.03626587506240377,-0.037747406004331054,0.558290394452902,,0.9979377209376066,160000,2000,7,315.6245925426483,0.0
8,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,505,27.26620478836811,-0.06479495680198455,0.9209519011087907,0.22246977472439025,0.06382429065326085,-0.06479495680198455,1.1353349523666578,,0.9997432280809452,180000,2336,8,356.3472640514374,0.0
9,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,508,64.2598421532362,-0.0699767562871178,0.8485246076797828,0.27858900940762116,0.06933634597330521,-0.0699767562871178,0.6690084561323508,,1.0003108248496666,200000,2548,9,393.3812458515167,0.0
10,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,512,82.99216042068599,-0.07787839975208044,0.8388118831775128,0.289813555820057,0.07667775564850905,-0.07787839975208044,0.721253232887158,,0.9998883630220706,220000,2724,10,429.6657679080963,0.0
11,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,513,94.648601080757,-0.08514490180099622,0.7597298043660629,0.2914466365885276,0.08472940057325057,-0.08514490180099622,1.0722332440125637,,0.9999093036621045,240000,2898,11,466.94349217414856,0.0
12,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,516,104.82894476825005,-0.08522564489872028,0.6935032832316863,0.2956242633553652,0.0839132595138672,-0.08522564489872028,1.0302761963544749,,1.000537825242067,260000,3061,12,503.4863193035126,0.01
13,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,518,100.61758060786455,-0.07848506058828952,0.6573957860469818,0.300672331204017,0.07839673675405673,-0.07848506058828952,0.8306122348094598,,1.001523602849398,280000,3226,13,539.9832084178925,0.02
