,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,191,10.794759060966754,-0.03369126899693257,2.7640974252651898,0.4973392333930884,0.02925440327097208,-0.03369126899693257,1.7583812090066764,,1.0001115131072509,20000,12,0,104.51207399368286,0.0
1,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,187,12.937759766463406,-0.023895698679515565,2.658927138035114,0.08889115839145886,0.02123229250502892,-0.023895698679515565,0.8905369916023352,,0.9984935337152236,40000,40,1,212.88269209861755,0.0
2,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,186,16.114266095625876,-0.01949803770209352,2.5777143478393554,0.07925782456325414,0.017672447584426175,-0.01949803770209352,1.5199093960798704,,0.9983611466028751,60000,75,2,321.883243560791,0.0
3,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,184,18.548385504661415,-0.017105180041816753,2.514447913108728,0.09325671030256229,0.015796576735253136,-0.017105180041816753,0.12899879329861738,,1.0022746124328712,80000,131,3,434.33490324020386,0.0
4,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,182,17.735095661035956,-0.014053701768175532,2.4393459818302055,0.09401972690262855,0.013284934287031109,-0.014053701768175532,0.4620409552867596,,0.9998275497020819,100000,220,4,548.471254825592,0.0
5,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,179,16.99243095723318,-0.02882860225314895,2.2587439151910633,0.09805318425194576,0.027718479993442693,-0.02882860225314895,1.0602338613607944,,1.0006251100546275,120000,362,5,668.0782809257507,0.0
6,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,176,16.25630612853221,-0.03537870212577474,2.0582882043642874,0.11069659603616366,0.033495997224385156,-0.03537870212577474,3.8098560149853045,,1.0015766509068318,140000,559,6,791.7758769989014,0.0
7,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,174,15.526980913664007,-0.024003875883630454,1.8659195432296165,0.13332347076099652,0.022718651149756252,-0.024003875883630454,0.22605699786008931,,0.9990596666550025,160000,799,7,917.9178113937378,0.0
8,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,172,21.158008939486326,-0.056553222167377286,1.6857950202929668,0.15771731783946355,0.05409154327920614,-0.056553222167377286,2.959654116936219,,0.9981174637109805,180000,1037,8,1042.4904153347015,0.0
9,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,170,20.03598895915039,-0.07857445087761451,1.4914702815887255,0.18590477732702707,0.07540084902579204,-0.07857445087761451,0.4758451658181655,,1.0029630860457053,200000,1308,9,1174.7982110977173,0.0
10,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,168,27.81323951029281,-0.0728856845305134,1.297592338690391,0.21618174145428035,0.07100136216061237,-0.0728856845305134,1.381317913837922,,0.9994601313884441,220000,1573,10,1304.9853472709656,0.0
11,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,167,29.114308979089202,-0.08990817012695165,1.0967780891137244,0.23049666720132034,0.08777694931397072,-0.08990817012695165,3.260661867948679,,1.0000531736856852,240000,1842,11,1434.965031862259,0.0
12,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,165,30.845751674505983,-0.07708837250964,0.9237368174088307,0.25139227312726853,0.07588158992047493,-0.07708837250964,2.489832355731573,,1.002159817172931,260000,2121,12,1567.0814621448517,0.0
13,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,164,36.22812743853701,-0.07441562116623689,0.7593649831337806,0.2663798672266496,0.07377918229366724,-0.07441562116623689,0.9241319969678536,,0.9998818759734814,280000,2409,13,1698.3132574558258,0.0
14,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,163,38.99264234403851,-0.08899911131041172,0.5746022685598104,0.2749175222638326,0.08851254130594241,-0.08899911131041172,1.2849701412213155,,1.0015839277169643,300000,2693,14,1830.0951335430145,0.0
15,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,163,39.02917508013857,-0.06881797107366415,0.4621096901404552,0.2639685270877985,0.06798957171252905,-0.06881797107366415,0.5322063233989935,,1.0003170405442898,320000,2973,15,1958.5939123630524,0.0
16,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,162,32.62027638878429,-0.06668723873220957,0.3106156889444742,0.2751230540852516,0.06638100896603787,-0.06668723873220957,1.418714072306951,,0.9997827945611416,340000,3293,16,2091.185303211212,0.0
17,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,161,16.569986185032807,-0.06725705330475018,0.16366220043542293,0.25281371034872835,0.06723925752135423,-0.06725705330475018,2.2809071091505198,,1.0004394376125092,360000,3703,17,2227.605311870575,0.0
18,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,160,35.11876471907842,-0.06809310467006305,0.03529510728698463,0.2610735145898966,0.06767275237884277,-0.06809310467006305,1.0067436970197237,,1.0001957420355234,380000,4014,18,2361.2975046634674,0.0
19,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,160,39.55202459319584,-0.0683734334193361,0.013558567720107162,0.2535510371510799,0.06744122675691659,-0.0683734334193361,1.015679810062433,,1.0005986402432123,400000,4316,19,2494.8634791374207,0.0
20,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,159,30.04963248833349,-0.08635631814981118,-0.06473335697441003,0.24017474953180704,0.08517394827153438,-0.08635631814981118,2.19997727733392,,1.0011791839049413,420000,4637,20,2628.8350899219513,0.0
21,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,159,31.594245962067554,-0.0668144137192613,-0.04797733818742041,0.23030413966148328,0.06603552263994247,-0.0668144137192613,2.335855253231831,,1.0024044426587913,440000,4983,21,2761.7849502563477,0.0
22,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,158,22.577936084627705,-0.04599590749026109,-0.012843700166111095,0.21058208046433252,0.045523812330495086,-0.04599590749026109,3.885341315697401,,0.9994307747254005,460000,5365,22,2896.778133869171,0.0
23,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,158,24.72293352501855,-0.05136523258227568,0.056784166725209126,0.20905688089820054,0.050528363764095,-0.05136523258227568,1.080345019698143,,1.0003595392673443,480000,5746,23,3034.579838991165,0.0
24,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,157,30.02323314443077,-0.055904916564050396,0.12248458598489659,0.21273586203654607,0.054701239520158526,-0.055904916564050396,1.9627009362746508,,1.000365551847678,500000,6093,24,3167.608559370041,0.0
25,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-5Env-v0/gail,157,37.59986999574957,-0.05967501851324088,0.203545629643859,0.21764200857052438,0.05830609002747597,-0.05967501851324088,2.0149016808240843,,1.0009802381961774,520000,6405,25,3300.6335458755493,0.0
