,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,177,8.537540597642877,-0.03960040955302807,2.7622176729715786,0.4406898800379191,0.03458004176425628,-0.03960040955302807,0.21340359489505106,,0.9999989710557156,20000,16,0,112.76865005493164,0.0
1,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,176,13.488701089188416,-0.029238699830304353,2.6657433671829027,0.07288270441289896,0.026024445588103472,-0.029238699830304353,0.9729199427060592,,0.9983590252124346,40000,39,1,226.81671285629272,0.0
2,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,174,14.96919064583987,-0.011702655258779534,2.58331111516708,0.07430104806732674,0.010634327847629977,-0.011702655258779534,1.0487735846103765,,0.9984935894226417,60000,80,2,344.01203775405884,0.0
3,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,169,14.864290642760967,-0.01533195737701578,2.5319948502075977,0.0800470988958692,0.014177764584429754,-0.01533195737701578,0.32594315245365485,,1.0023799888598612,80000,148,3,472.2563147544861,0.0
4,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,165,9.733971903487753,-0.021078157559849132,2.464682981601128,0.08914226906803938,0.020126210568616024,-0.021078157559849132,1.834400308285004,,0.9996812981672776,100000,286,4,604.3697748184204,0.0
5,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,161,10.981886814197823,-0.045922529807266514,2.422338676146972,0.09711890962834542,0.04500970249661268,-0.045922529807266514,3.4941324637486386,,1.0011897389705364,120000,483,5,741.4811441898346,0.0
6,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,158,7.672767021116267,-0.024121681295144252,2.3263241462218454,0.10602976449598105,0.02384875448516164,-0.024121681295144252,3.2058445340547808,,1.0004187045953212,140000,756,6,880.7302432060242,0.0
7,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,156,2.9466455339571316,-0.0220399062268627,2.19362849119382,0.09773054939623062,0.021810628082125614,-0.0220399062268627,0.9904375601273316,,0.9986919934933002,160000,1117,7,1019.4602627754211,0.0
8,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,155,8.268528068135025,-0.042603425660098976,2.0980572174756955,0.11443708033229295,0.04201378404425505,-0.042603425660098976,1.3283759674964808,,0.9979455859997334,180000,1431,8,1156.0729110240936,0.0
9,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,155,10.348765511974593,-0.04408764889320502,1.9503074592504746,0.11751820746427163,0.04322159729229334,-0.04408764889320502,1.9414305257491575,,1.0031661935341665,200000,1724,9,1288.8011558055878,0.0
