,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-5Env-v0,613,7.311967999881442,1524,2,2.48319149017334,,,,0.0
1,MetaDrive-Tut-5Env-v0,633,7.8767705615174295,2525,3,3.9886035919189453,,,,0.0
2,MetaDrive-Tut-5Env-v0,671,8.66941172325135,3526,4,5.248022079467773,,,,0.0
3,MetaDrive-Tut-5Env-v0,692,9.102349361713578,4527,5,6.5392005443573,,,,0.0
4,MetaDrive-Tut-5Env-v0,720,9.639513470416395,5528,6,7.668038845062256,,,,0.0
5,MetaDrive-Tut-5Env-v0,727,9.712700827506948,6529,7,8.979479551315308,,,,0.0
6,MetaDrive-Tut-5Env-v0,744,10.264565240333491,7530,8,10.110039472579956,,,,0.0
7,MetaDrive-Tut-5Env-v0,747,10.164045415546143,8531,9,11.415513277053833,,,,0.0
8,MetaDrive-Tut-5Env-v0,755,9.291766951626732,9968,11,13.193479061126709,,,,0.0
9,MetaDrive-Tut-5Env-v0,704,9.32425490332893,10064,12,14.294243812561035,0.011918063275516033,,0.0006870985962450504,0.0
10,MetaDrive-Tut-5Env-v0,218,1.8748498529011475,11008,46,50.42065691947937,0.06948460638523102,,0.004330531693994999,0.0
11,MetaDrive-Tut-5Env-v0,112,2.1242038357628736,12022,76,106.80436635017395,0.09307973086833954,,0.21124030649662018,0.0
12,MetaDrive-Tut-5Env-v0,79,1.895765689761063,13010,104,163.67686986923218,0.15319722890853882,,0.39026665687561035,0.0
13,MetaDrive-Tut-5Env-v0,63,1.1420623883751615,14015,136,221.06504821777344,0.2715316414833069,-0.26679715514183044,0.050025224685668945,0.0
14,MetaDrive-Tut-5Env-v0,53,2.056112273299121,15041,160,278.8227026462555,0.30878427624702454,-0.3882323205471039,0.6833187341690063,0.0
15,MetaDrive-Tut-5Env-v0,47,2.1179317968122704,16109,173,339.0497479438782,0.48479247093200684,-0.47791871428489685,0.2725403308868408,0.0
