,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-1Env-v0,432,4.685097036144128,1455,2,3.3638434410095215,,,,0.0
1,MetaDrive-Tut-1Env-v0,434,6.5095780707859605,2456,3,5.6576783657073975,,,,0.0
2,MetaDrive-Tut-1Env-v0,434,5.702399563287339,3709,5,8.541687488555908,,,,0.0
3,MetaDrive-Tut-1Env-v0,433,6.550075084369435,4710,6,10.864891290664673,,,,0.0
4,MetaDrive-Tut-1Env-v0,424,7.478136738945002,5711,7,13.444168329238892,,,,0.0
5,MetaDrive-Tut-1Env-v0,417,8.120705869075081,6712,8,16.084660530090332,,,,0.0
6,MetaDrive-Tut-1Env-v0,399,7.840930290395363,7532,9,18.839614868164062,,,,0.0
7,MetaDrive-Tut-1Env-v0,382,8.067168860618258,8533,10,22.290778398513794,,,,0.0
8,MetaDrive-Tut-1Env-v0,374,7.694573887314618,9983,12,26.652358293533325,,,,0.0
9,MetaDrive-Tut-1Env-v0,319,8.124973036635756,10069,13,31.550101280212402,-0.0008260617032647133,-0.001248167478479445,0.2018987536430359,0.0
10,MetaDrive-Tut-1Env-v0,131,1.8343330777000575,11001,46,83.8015501499176,0.10173076391220093,-0.0991673618555069,0.015356083400547504,0.0
11,MetaDrive-Tut-1Env-v0,84,0.14254707635567032,12041,74,143.21729946136475,0.10053565353155136,-0.11978952586650848,0.21769142150878906,0.0
12,MetaDrive-Tut-1Env-v0,65,-0.7169063508476661,13020,101,199.02792239189148,0.0744280219078064,,0.543694794178009,0.0
13,MetaDrive-Tut-1Env-v0,50,-1.8429758082675005,14629,112,286.96782898902893,0.21978697180747986,-0.27272969484329224,0.0149775305762887,0.0
14,MetaDrive-Tut-1Env-v0,45,-1.9537255261464497,15630,113,341.900515794754,0.23911947011947632,,0.037287674844264984,0.0
15,MetaDrive-Tut-1Env-v0,41,-2.0296232397275027,16631,114,397.10638666152954,0.2664003372192383,-0.30540114641189575,0.013673564419150352,0.0
16,MetaDrive-Tut-1Env-v0,39,-2.1860936178427726,17632,115,452.01437306404114,0.22459998726844788,,0.2182045429944992,0.0
17,MetaDrive-Tut-1Env-v0,36,-2.2254261690770276,18633,116,507.0021035671234,0.29469388723373413,-0.39658403396606445,0.022708196192979813,0.0
18,MetaDrive-Tut-1Env-v0,34,-2.275882072719314,19634,117,561.722731590271,0.45538365840911865,,0.01296655461192131,0.0
19,MetaDrive-Tut-1Env-v0,33,-2.333160400935978,20635,118,616.387008190155,0.4092111587524414,-0.46204692125320435,0.01282682828605175,0.0
20,MetaDrive-Tut-1Env-v0,32,-2.3856725235851837,21636,119,671.5779190063477,0.458048552274704,,0.011254865676164627,0.0
21,MetaDrive-Tut-1Env-v0,31,-2.389748343406832,22637,120,726.5654351711273,0.43106019496917725,-0.46684399247169495,0.0201251320540905,0.0
