,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1908,2.254415832255323,-0.014739863580474868,2.773695334715721,0.4774938652339654,0.012711020541759446,-0.014739863580474868,1.9508521327605615,,0.9999674985806147,20000,93,0,10.481666564941406,0.0
1,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1858,3.927312380171945,-0.018874125361729128,2.6688194290185585,0.06671520280293547,0.01654674523175718,-0.018874125361729128,0.6589358299970627,,0.9982490258339124,40000,197,1,21.52811622619629,0.0
2,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1800,7.000948543869268,-0.015627520968421148,2.565818168872442,0.0922369360899887,0.014200565257133582,-0.015627520968421148,2.0343050941442833,,0.9984523163391994,60000,298,2,33.319793462753296,0.0
3,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1767,10.095584157062529,-0.02695472774645075,2.4585223876512967,0.11435564242972013,0.024912095394654152,-0.02695472774645075,0.6912325714643185,,1.0022597571978202,80000,404,3,45.25305652618408,0.0
4,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1727,8.188287017855826,-0.02991059166021072,2.3514729973597404,0.11513090959439674,0.02801829409570648,-0.02991059166021072,0.13648510836064814,,1.0001941601435342,100000,551,4,57.87304162979126,0.0
5,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1695,5.359113445241784,-0.045715214751469786,2.2207335961170687,0.11127942264653169,0.04351692397433978,-0.045715214751469786,1.0634277265805465,,1.0005426719402655,120000,767,5,70.78963446617126,0.0
6,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1662,4.157486472114007,-0.03445139383324064,2.071089717058035,0.11147079202704704,0.033149412200332455,-0.03445139383324064,0.42123129180608654,,1.0010589825037197,140000,1051,6,84.23281645774841,0.0
7,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1631,3.3679656156608724,-0.010624053078488661,1.9232365007583911,0.11211071223593676,0.010074908901244784,-0.010624053078488661,2.25082235733668,,1.0003044889523434,160000,1378,7,98.05570769309998,0.0
8,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1595,2.1101802374708414,-0.017625079489050385,1.7706537722012936,0.10690947610120742,0.017065838978697474,-0.017625079489050385,0.9358446317605483,,0.9988701280110922,180000,1763,8,112.82945418357849,0.0
9,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1564,1.9684037224642905,-0.052368727412361364,1.6517005900541941,0.11057852611709863,0.04985848924097342,-0.052368727412361364,2.1750403395065896,,0.9999207488237283,200000,2178,9,127.84950089454651,0.0
10,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1547,3.777802487000749,-0.02629602857125111,1.5369203992379017,0.11831020229281142,0.0255198738609369,-0.02629602857125111,3.4531969825426736,,0.9981018783190312,220000,2580,10,142.19279623031616,0.0
11,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1533,3.2347134651276948,-0.040581897020531006,1.4305442467713967,0.11968726388728007,0.03898616204133783,-0.040581897020531006,4.057776240202097,,0.9993827742643845,240000,3009,11,156.5359411239624,0.0
12,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1520,4.823922740937609,-0.022908587887501105,1.3213317287273896,0.13759903978460875,0.0221620412901617,-0.022908587887501105,0.31973700580688624,,1.0007944842179617,260000,3438,12,170.9918508529663,0.0
13,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1512,7.612950985251925,-0.058334912994924264,1.2011273219035221,0.1962679325292508,0.058035797501603766,-0.058334912994924264,0.8952138184736936,,1.0004276055556076,280000,3835,13,185.17843914031982,0.0
14,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1513,47.455894479480975,-0.08860414732152071,1.1186792937608865,0.30132009683129113,0.08735048284706397,-0.08860414732152071,2.2805356175471574,,1.001066489173816,300000,4062,14,198.1980493068695,0.16
15,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1508,25.45224296041356,-0.08168007349356626,1.0209621025965765,0.28532000433367033,0.08097598135280304,-0.08168007349356626,0.5251070462167263,,0.9994393452619895,320000,4369,15,212.16809129714966,0.07
16,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1499,11.214037828020432,-0.06153014002320094,0.9198506351464834,0.23133359758708721,0.061183024622882026,-0.06153014002320094,0.5876882625695986,,0.9996684172214606,340000,4775,16,226.72596883773804,0.02
17,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1492,5.799440858439226,-0.03170633956025808,0.759792999120859,0.17481746807312354,0.031188650995206374,-0.03170633956025808,3.268931024502485,,1.00140721538128,360000,5230,17,241.2230942249298,0.0
18,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/gail,1484,5.332303144991276,-0.054375093635649255,0.662986231308717,0.20030717141926288,0.05430426465299649,-0.054375093635649255,1.3413654362544036,,1.0001554340888292,380000,5682,18,255.98588871955872,0.0
