,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-100Env-v0,624,4.593543231323781,1590,2,2.5440847873687744,,,,0.0
1,MetaDrive-Tut-100Env-v0,618,6.093383399858112,2591,3,4.191704511642456,,,,0.0
2,MetaDrive-Tut-100Env-v0,601,7.164034319468714,3592,4,5.969501972198486,,,,0.0
3,MetaDrive-Tut-100Env-v0,608,6.7258047830166,4969,6,8.16565489768982,,,,0.0
4,MetaDrive-Tut-100Env-v0,583,7.483220497278522,5970,7,10.226293563842773,,,,0.0
5,MetaDrive-Tut-100Env-v0,585,8.19100943680332,6971,8,11.907023906707764,,,,0.0
6,MetaDrive-Tut-100Env-v0,582,8.251590329579967,7972,9,13.674365997314453,,,,0.0
7,MetaDrive-Tut-100Env-v0,596,8.54862889344783,8973,10,15.036825180053711,,,,0.0
8,MetaDrive-Tut-100Env-v0,599,8.755422847165029,9974,11,16.634934425354004,,,,0.0
9,MetaDrive-Tut-100Env-v0,487,8.327957016526982,10064,12,20.637831926345825,0.01230342872440815,,0.0013046222738921642,0.0
10,MetaDrive-Tut-100Env-v0,146,4.225037786529482,11022,42,74.9876925945282,0.07813434302806854,,0.01769673451781273,0.0
11,MetaDrive-Tut-100Env-v0,88,4.70067079728776,12040,72,136.58983945846558,0.18385261297225952,,0.26568734645843506,0.0
12,MetaDrive-Tut-100Env-v0,67,7.270596189773836,13006,94,191.6960711479187,0.4024960994720459,,0.31803274154663086,0.0
13,MetaDrive-Tut-100Env-v0,56,9.794014398563082,14017,116,250.20137429237366,0.7228859663009644,-0.9013448357582092,0.6235770583152771,0.0
14,MetaDrive-Tut-100Env-v0,48,13.765982475189299,15002,135,306.64427876472473,1.047809362411499,,1.1585242748260498,0.0
15,MetaDrive-Tut-100Env-v0,43,16.9468424137333,16046,156,366.8820059299469,1.5799527168273926,,0.7321441173553467,0.0
16,MetaDrive-Tut-100Env-v0,40,19.934744191156746,17010,175,421.84375262260437,2.0345733165740967,,0.9086196422576904,0.0
17,MetaDrive-Tut-100Env-v0,37,21.47481638844022,18048,194,481.40995812416077,2.5107030868530273,,2.111802577972412,0.0
18,MetaDrive-Tut-100Env-v0,35,24.239537065601606,19067,210,539.364602804184,3.230191230773926,-3.4941697120666504,2.2880094051361084,0.0
19,MetaDrive-Tut-100Env-v0,33,29.36200815274815,20026,222,593.4103534221649,4.121816635131836,,1.4368512630462646,0.0
20,MetaDrive-Tut-100Env-v0,32,33.48960101252114,21077,236,653.3054902553558,4.905426025390625,-5.103813171386719,2.825786590576172,0.0
21,MetaDrive-Tut-100Env-v0,31,38.73006750988253,22048,247,707.8850483894348,5.805581569671631,,7.122807502746582,0.0
22,MetaDrive-Tut-100Env-v0,30,45.82837593533028,23004,257,762.3236727714539,6.167834281921387,,9.910996437072754,0.0
23,MetaDrive-Tut-100Env-v0,29,53.87270140978499,24016,266,818.6182174682617,7.463571071624756,,2.8002495765686035,0.0
24,MetaDrive-Tut-100Env-v0,28,62.78246009609516,25127,277,880.869781255722,8.506744384765625,-9.118600845336914,4.868292331695557,0.0
25,MetaDrive-Tut-100Env-v0,27,70.92325074717667,26035,285,931.6738712787628,9.791542053222656,-9.895610809326172,4.135473251342773,0.0
26,MetaDrive-Tut-100Env-v0,27,76.60771800501793,27007,295,985.8303005695343,10.916802406311035,-11.012198448181152,1.1232644319534302,0.0
27,MetaDrive-Tut-100Env-v0,26,81.03236680691425,28048,307,1044.5089802742004,10.783132553100586,,5.909424781799316,0.0
28,MetaDrive-Tut-100Env-v0,26,85.06828832625503,29028,317,1098.7454245090485,12.740188598632812,,6.166711807250977,0.0
29,MetaDrive-Tut-100Env-v0,25,87.00538225625262,30037,328,1155.5995349884033,13.010037422180176,-13.626157760620117,15.721826553344727,0.0
30,MetaDrive-Tut-100Env-v0,25,89.8203113897917,31066,339,1213.4715783596039,14.619426727294922,,6.423809051513672,0.0
31,MetaDrive-Tut-100Env-v0,25,90.73569814719576,32061,350,1269.2512912750244,16.390405654907227,-16.910892486572266,6.917768478393555,0.0
32,MetaDrive-Tut-100Env-v0,24,90.41089166065495,33021,360,1322.7983911037445,17.262052536010742,-17.88226890563965,6.33565616607666,0.0
33,MetaDrive-Tut-100Env-v0,24,90.31455866761866,34059,370,1381.0113050937653,18.12966537475586,-18.32257080078125,9.005657196044922,0.0
34,MetaDrive-Tut-100Env-v0,24,86.55862724404565,35046,381,1437.2974305152893,19.455841064453125,,6.348608493804932,0.0
