,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3118,22.01,-0.016982039430130942,0.6853236176264592,29.63544091077951,29.618458872575026,19.306915525289682,8.469751358032227,1.000194017856549,20000,901,0,6.41237998008728
1,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3433,31.81,-0.018272762589204388,0.656236127553842,34.3787590491466,34.36048637292324,31.411669537959956,7.687087535858154,0.9992969608459717,40000,1507,1,11.648988008499146
2,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3481,67.65,-0.017299906572159858,0.6197082938292088,41.98827046369895,41.97097055239555,37.20137826907329,8.035822868347168,0.9996657604590441,60000,1826,2,17.236464977264404
3,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3477,104.83,-0.010621286897609631,0.5874457020025987,39.96970330751859,39.95908219019572,41.18133651048709,7.516438961029053,1.0000187156292109,80000,2012,3,23.001794815063477
4,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3494,145.94,-0.008218760109052826,0.5691181564178223,31.05610744525225,31.04788871422792,39.21612184964693,6.620893478393555,0.9997687820440684,100000,2149,4,28.61429238319397
5,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3478,177.91,-0.004940334785108765,0.5546884204332645,27.804159218225724,27.79921867052714,34.53537625777416,5.589972972869873,0.9992539032911643,120000,2263,5,34.493398666381836
6,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3454,190.1,-0.0045535692948107725,0.5420570597434655,36.69960958529742,36.69505585646018,32.85350387035272,4.1055803298950195,0.9993630914351879,140000,2367,6,40.5314576625824
7,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3457,193.73,-0.002850306337364973,0.5265398810307185,45.83340783241468,45.830557546860135,33.760061350846904,2.848111867904663,0.9997133470498598,160000,2471,7,46.278902769088745
8,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3464,190.57,-0.0026094747987838508,0.5169509995824252,42.72280385188567,42.7201944180024,33.365641324948044,2.023635149002075,0.9995734275915684,180000,2576,8,51.95312166213989
9,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3472,197.46,-0.0011236513421560327,0.5055978331810389,50.69658490939018,50.69546115581806,32.90982782779596,1.1991117000579834,0.9996541028603529,200000,2677,9,57.601210832595825
10,/home/yingqi/assignment-2022fall/assignment3/CartPole-v0/ppo,3462,198.61,-0.0007586575095326855,0.5039765227681551,54.15452109605838,54.153762338100336,34.4679297043727,0.6715558767318726,0.9995311112740101,220000,2778,10,63.54329776763916
