,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,success_rate
0,MetaDrive-Tut-Easy-v0,522,2.582955851842889,1004,5,1.922743320465088,,0.007856406271457672,0.014639868400990963,0.0
1,MetaDrive-Tut-Easy-v0,295,-0.5964450528467521,2005,35,6.7944724559783936,-0.051910772919654846,2.342034339904785,-0.11932970583438873,0.0
2,MetaDrive-Tut-Easy-v0,258,-1.8765491014907338,3049,70,11.773287773132324,-0.12883013486862183,2.1159400939941406,-0.1513349711894989,0.0
3,MetaDrive-Tut-Easy-v0,248,-1.771887725255596,4054,75,16.32662582397461,,0.08527369797229767,0.13550309836864471,0.0
4,MetaDrive-Tut-Easy-v0,240,-1.8258597675996402,5019,93,20.869072914123535,-0.15473400056362152,0.24613693356513977,0.12318333238363266,0.0
5,MetaDrive-Tut-Easy-v0,234,-2.4196347770979076,6019,118,25.66675353050232,-0.0860050618648529,0.02087179385125637,0.004166940227150917,0.0
6,MetaDrive-Tut-Easy-v0,231,-2.2756535380741494,7180,127,31.073986768722534,,0.1358904093503952,0.02857840806245804,0.0
7,MetaDrive-Tut-Easy-v0,228,-2.049148616718112,8185,132,35.80262780189514,-0.14278636872768402,0.018437691032886505,0.09819167852401733,0.0
8,MetaDrive-Tut-Easy-v0,226,-1.8120211788919791,9190,137,40.529139041900635,,0.6369035243988037,-0.4991714656352997,0.0
9,MetaDrive-Tut-Easy-v0,224,-1.4759143070641485,10195,142,45.47821640968323,0.18038427829742432,0.0139327272772789,-0.2501247227191925,0.0
10,MetaDrive-Tut-Easy-v0,222,-1.125059562278272,11200,147,50.246241092681885,,0.027539676055312157,-0.09234619140625,0.0
11,MetaDrive-Tut-Easy-v0,222,-0.850368615895725,12004,151,54.053842544555664,,0.021921096369624138,-0.24374204874038696,0.0
12,MetaDrive-Tut-Easy-v0,221,-0.6208816719341312,13009,156,58.846147537231445,0.1849713921546936,0.043261848390102386,-0.11767241358757019,0.0
13,MetaDrive-Tut-Easy-v0,220,-0.3735246556535753,14014,161,63.55897545814514,,0.027549250051379204,-0.18870574235916138,0.0
14,MetaDrive-Tut-Easy-v0,219,-0.12333411012767653,15019,166,68.29207706451416,0.13817089796066284,0.05553038790822029,-0.16263318061828613,0.0
15,MetaDrive-Tut-Easy-v0,219,0.07502458786898968,16024,171,72.99909448623657,,0.026767432689666748,-0.16336274147033691,0.0
16,MetaDrive-Tut-Easy-v0,218,1.1889751485764644,17017,181,77.76557874679565,0.021615171805024147,0.019657060503959656,-0.1410697102546692,0.0
17,MetaDrive-Tut-Easy-v0,217,1.848282852344711,18011,201,82.63323092460632,-0.27941977977752686,0.027155304327607155,0.2748011350631714,0.0
18,MetaDrive-Tut-Easy-v0,217,2.0334909168081086,19024,214,87.51821947097778,,0.6668541431427002,0.25637489557266235,0.0
19,MetaDrive-Tut-Easy-v0,216,2.223247762148847,20200,229,93.1632707118988,,0.09021604806184769,0.338887482881546,0.0
20,MetaDrive-Tut-Easy-v0,216,2.068065370882807,21119,234,97.43997693061829,-0.6633732914924622,0.10821071267127991,0.6576288938522339,0.0
21,MetaDrive-Tut-Easy-v0,216,1.8102499754557622,22113,240,102.18933296203613,-0.6695884466171265,0.027939796447753906,0.5887250900268555,0.0
22,MetaDrive-Tut-Easy-v0,215,1.6162422720209537,23008,250,106.56728839874268,,0.026995427906513214,0.654549241065979,0.0
23,MetaDrive-Tut-Easy-v0,215,1.7243595508475795,24053,264,111.70312714576721,-0.3317679762840271,0.12665757536888123,0.3828456401824951,0.0
24,MetaDrive-Tut-Easy-v0,214,2.680824670669689,25155,271,117.01738238334656,-1.0687646865844727,0.11903597414493561,1.0095303058624268,0.0
25,MetaDrive-Tut-Easy-v0,214,3.5919424272036515,26018,277,121.10302448272705,,0.06494826078414917,1.0162798166275024,0.0
26,MetaDrive-Tut-Easy-v0,214,3.734613576800711,27061,283,126.0297999382019,-1.1910686492919922,0.10447724163532257,1.105438470840454,0.0
27,MetaDrive-Tut-Easy-v0,214,5.198592680690956,28056,289,130.80544590950012,,0.04269900172948837,1.280989170074463,0.0
28,MetaDrive-Tut-Easy-v0,214,6.868928434979447,29061,294,135.57870292663574,-1.5708973407745361,0.9375475645065308,1.4565966129302979,0.0
29,MetaDrive-Tut-Easy-v0,214,8.995690010719752,30123,301,140.67212295532227,-1.9661246538162231,0.2540285289287567,1.6514074802398682,0.0
30,MetaDrive-Tut-Easy-v0,214,11.0615719892267,31128,306,145.4557933807373,,0.30126792192459106,2.187000274658203,0.0
31,MetaDrive-Tut-Easy-v0,213,13.207901638750936,32133,311,150.2845025062561,-2.5653395652770996,0.043937958776950836,2.398810386657715,0.0
32,MetaDrive-Tut-Easy-v0,213,15.711827225327673,33138,316,155.03743386268616,,0.11606123298406601,2.6803364753723145,0.0
33,MetaDrive-Tut-Easy-v0,213,18.628129934098062,34143,321,159.85492515563965,-3.200873851776123,3.065938949584961,2.907681703567505,0.0
34,MetaDrive-Tut-Easy-v0,213,21.34380815838539,35148,326,164.7375452518463,,0.5695024132728577,3.279021739959717,0.0
35,MetaDrive-Tut-Easy-v0,213,24.281383142801754,36153,331,169.64709877967834,-3.854957103729248,0.10648798197507858,3.611466884613037,0.0
36,MetaDrive-Tut-Easy-v0,213,27.28731928607291,37158,336,174.37197399139404,,0.18920326232910156,3.95316743850708,0.0
37,MetaDrive-Tut-Easy-v0,213,30.46603339630534,38163,341,179.0931122303009,-4.369830131530762,0.08307479321956635,3.9553797245025635,0.0
38,MetaDrive-Tut-Easy-v0,213,33.88951190419439,39168,346,183.77562499046326,,0.6669837832450867,4.691725254058838,0.0
39,MetaDrive-Tut-Easy-v0,213,37.39379867430194,40173,351,188.55476903915405,-5.006364822387695,0.8909094333648682,4.973790168762207,0.0
40,MetaDrive-Tut-Easy-v0,212,41.481027205144464,41178,356,193.41164660453796,,0.9554186463356018,5.193190097808838,0.0
41,MetaDrive-Tut-Easy-v0,212,45.89366119090771,42183,361,198.1989905834198,-5.990743637084961,0.26291516423225403,5.8570404052734375,0.0
42,MetaDrive-Tut-Easy-v0,212,50.15199717134456,43194,367,203.00365018844604,,2.7390546798706055,5.620891571044922,0.02
43,MetaDrive-Tut-Easy-v0,212,54.40258759022091,44175,372,207.69070386886597,-6.408835411071777,1.6466279029846191,6.1670074462890625,0.05
44,MetaDrive-Tut-Easy-v0,212,57.575251818287136,45037,379,211.74556612968445,-7.216591835021973,3.193250894546509,6.814915657043457,0.07
45,MetaDrive-Tut-Easy-v0,212,61.04750246336211,46043,387,216.49391841888428,-7.7674689292907715,0.13151291012763977,7.51900577545166,0.11
46,MetaDrive-Tut-Easy-v0,212,62.42504682341645,47018,397,221.23197317123413,,0.18555894494056702,7.668937683105469,0.11
47,MetaDrive-Tut-Easy-v0,212,63.671483361889386,48008,407,226.1416003704071,,0.30820566415786743,8.117868423461914,0.12
