,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,2177,2.380632951505323,-0.014006223044811915,2.7866566410431495,0.017415288565322182,0.003409065624910932,0.9839658530285725,0.18823190033435822,1.000329211507088,20000,91,0,9.184995174407959,0.0
1,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,2103,3.122279285622408,-0.010391780339444105,2.7279062194701953,0.048726769648969936,0.038334989155499405,1.12577129436227,0.20857292413711548,1.0003357684000944,40000,195,1,19.020135641098022,0.0
2,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,2070,4.190285717204131,-0.00995810244871208,2.6306296079586713,0.10209419683624919,0.0921360938247138,1.3751410202338146,0.24861502647399902,0.9997297798211758,60000,300,2,28.979469776153564,0.0
3,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,2016,6.003331685080439,-0.018155418385942586,2.56817224637056,0.07605139482288789,0.05789597703708121,1.6085932968136591,0.3248039484024048,0.9980615519560301,80000,401,3,39.67622137069702,0.0
4,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1969,8.876390298225596,-0.01684868658045068,2.4536073657182547,0.1425182120062602,0.1256695247323921,1.8748974109498353,0.5015625357627869,1.000336811099297,100000,501,4,50.78304195404053,0.0
5,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1988,10.974931542205038,-0.008975615232991866,2.3770205931785777,0.43280414931285077,0.4238285332154005,2.3159348843189385,0.5932440161705017,1.0001627043271677,120000,612,5,60.33634042739868,0.0
6,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1987,11.356267584469556,-0.004382152162277355,2.2923215477894514,1.0160685422328801,1.0116863892628596,3.06518592887964,0.5263866186141968,1.000452799980457,140000,737,6,70.45287799835205,0.0
7,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1961,12.855104739473065,-0.008026685141838895,2.2429629567341927,0.8875108592021159,0.8794841702167805,4.750885033301818,0.5991086959838867,1.0007670868665743,160000,869,7,81.55490493774414,0.0
8,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1946,13.756375130788602,-0.005113617027512727,2.1694300193053024,1.8150140976294493,1.8099004848645284,8.342452427362785,0.6015438437461853,0.9996612593149528,180000,1023,8,92.49500799179077,0.0
9,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1928,20.418242153674935,-0.007423522890521548,2.1041911446131194,2.7331879230645986,2.7257644083255377,9.570958151725621,0.8758826851844788,0.9994055915337342,200000,1172,9,103.73159122467041,0.0
10,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1910,31.700233823366105,-0.008890080087794325,2.0300675972914086,3.309950110392693,3.3010600400276675,12.497156699651327,1.6036269664764404,0.9993558464141993,220000,1306,10,115.17589259147644,0.0
11,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1895,42.920032355508404,-0.007018554916915794,1.9632803065654558,4.363979306893471,4.356960768883045,13.290368486520572,2.104992628097534,0.9994025674385902,240000,1428,11,126.615882396698,0.0
12,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1878,58.12082721636719,-0.005280209944631235,1.8340079645315805,7.981463096080682,7.9761828972743105,17.553030764598113,3.0666677951812744,0.9997574477623671,260000,1551,12,138.38043785095215,0.02
13,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1868,88.42955566164007,-0.0018125662574162468,1.7201655676731697,9.59464383492103,9.59283124055618,19.576480987897288,4.680532932281494,0.9999214374102079,280000,1662,13,149.88785338401794,0.29
14,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1856,85.83806006881514,-0.0025422886503526036,1.675898068684798,13.85403407842685,13.851491790551405,23.800657641582,3.9043197631835938,1.0001512631391867,300000,1783,14,161.62211227416992,0.4
15,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1845,103.60686808541374,-4.5243851267374476e-05,1.612897407091581,11.686819454951165,11.686774167647728,44.90416358250838,4.46887731552124,1.0002246465438451,320000,1900,15,173.4045786857605,0.71
16,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1838,105.88348728152043,0.002824204966115455,1.5590288101098477,12.558897750805587,12.561721920967102,66.9753072194564,3.945709228515625,1.0004001852793571,340000,2018,16,184.91975164413452,0.81
17,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1833,107.34956580658292,0.001053256435224261,1.4613201471475454,14.446967652516488,14.448020862921691,96.02757598681328,3.483600378036499,0.9998421234198106,360000,2144,17,196.29318714141846,0.87
18,/home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-Easy-v0/ppo,1828,110.60507791100464,-0.0013117734211473128,1.3940248027825968,13.580110450280019,13.578798623574086,112.1586679538091,3.1732678413391113,0.9999049663543701,380000,2274,18,207.8086884021759,0.89
